SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
COc1ccc(CCN2CCC(Nc3[nH+]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,"2247",29,Done,4.35,-5.00396,"5edu_chain-A_Grid",-6.69426,-1.62747,-0.32,-2.3,-0.423237,-29.6738,-8.0449,0.666874,0,-55.1253,-37.7188,6.68764
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,"2247",30,Done,3.71,-4.49714,"5edu_chain-A_Grid",-6.30404,-1.60929,-0.32,-2.3,-0.341899,-33.0336,-5.00476,0.669546,0,-50.149,-38.0384,7.1013
COc1ccc(CC[NH+]2CCC(/N=c3\[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,"2247",31,Done,4.55,-2.99745,"5edu_chain-A_Grid",-5.31075,-1.84884,-0.587621,-0,-0.408817,-30.2684,-9.80565,0.571606,-0.0528105,-47.078,-40.0741,14.6588
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,"6450551",32,Done,2.51,-3.90483,"5edu_chain-A_Grid",-4.06233,-1.45431,0,-0,-1.00302,-35.5454,-2.9074,0.651573,-0.0431915,-47.2106,-38.4528,2.39727
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)[nH]nc2c1,"6450551",33,Done,2.2,-4.2618,"5edu_chain-A_Grid",-5.1361,-1.22223,-0.16,-0,-0.997649,-34.1957,-10.6534,0.651573,-0.1,-56.8213,-44.8491,4.97324
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,"124081896",34,Done,2.7,-7.02424,"5edu_chain-A_Grid",-7.02424,-1.19377,-0.493743,-2.3,0.0126942,-37.6375,-8.63391,0.227813,-0.100272,-60.8948,-46.2714,6.24375
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,"6918638",35,Done,3.04,-8.26536,"5edu_chain-A_Grid",-8.42486,-1.50059,-0.436421,-2.3,-0.885115,-31.6449,-17.4951,1.10376,-0.2,-76.4438,-49.1399,4.52364
O=C(/C=C/c1cccc(S(=O)(=O)[N-]c2ccccc2)c1)NO,"6918638",36,Done,2.45,-7.73331,"5edu_chain-A_Grid",-8.83991,-1.56614,-0.608,-2.3,-0.99155,-32.8578,-17.6085,1.10994,-0.2,-80.7454,-50.4663,2.88581
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)N[O-],"6918638",37,Done,2.32,-7.62489,"5edu_chain-A_Grid",-8.15519,-1.43964,-0.575323,-1.75192,-0.890667,-19.6657,-21.5954,0.924953,-0.2,-86.0851,-41.2611,2.34633
O=C(/C=C/c1cccc(S(=O)(=O)[N-]c2ccccc2)c1)N[O-],"6918638",38,Done,2.02,-6.99324,"5edu_chain-A_Grid",-8.47054,-1.57351,-0.571942,-1.76046,-1.00153,-19.3004,-22.1881,0.930146,-0.2,-91.4648,-41.4886,1.95219
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,"11950170",39,Done,3.93,-4.70041,"5edu_chain-A_Grid",-4.79961,-1.15431,-0.639213,-0,-0.394207,-38.6408,-8.66019,0.685961,-0.066767,-58.9988,-47.301,5.60435
